Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker
-,9.63,1.11,1.43%,657.57M,-18.11%,7.02B,3.67,37.35%,-1.61%,648.18M,-34.38%,846.00M,0.45,-0.51,68.36%,9.37%,-38.99%,54.21B,0.13,7.99%,22.71%,1.58,-0.93%,-6.05,-,1.36%,60.71M,-23.57%,11.73,0.91,21.53%,-,9.07 - 19.10,-38.78%,-,5.40,-20.93%,3.12%,-44.14%,1.18,-,0.43,16.92%,21.15%,17.64%,0.68,"Feb 04, 2020",0.54,2.20%,5.95%,16.37,6.46% 4.75%,133300,-,2.70%,1.56%,2.00,19.15,Yes / Yes,-,2721.11%,0.00%,1.31,10.67,1.74%,29.83%,4.58%,Jan 23 BMO,38.39M,10.67,-23.09%,-33.06%,-19.18%,,"12,099,088",0.00%,AAL
RUT,10.84,2.23,1.81%,37.48M,-0.16%,907.31M,7.32,20.40%,-9.35%,36.81M,-3.97%,85.00M,-,0.49,101.03%,1.18%,-20.32%,515.30M,1.76,-0.54%,1.33%,2.18,3.60%,0.53,45.35,12.92%,0.44M,6.42%,2.63,9.21,-,282.39%,21.45 - 31.52,-8.12%,0.04 (0.17%),9.07,-1.99%,24.14%,-23.22%,1.38,0.04 (0.17%),-,-6.85%,96.24%,12.82%,0.77,"Mar 14, 2025",-,42.43%,28.43%,45.04,3.38% 3.01%,383,17.08,18.73%,16.50%,3.67,25.67,Yes / Yes,16.61,109.20%,1.80%,0.55,23.93,14.02%,46.89%,23.71%,Feb 06 BMO,200.39K,24.20,-1.89%,-3.09%,-4.44%,,"26,260",1.13%,AAMI
RUT,10.47,21.52,1.60%,19.58M,-11.56%,4.43B,8.34,2.50%,-1.82%,19.33M,-25.13%,430.30M,-,6.54,110.27%,7.75%,-12.21%,17.19B,0.26,-3.23%,-2.15%,7.84,5.07%,178.83,1.26,4.15%,1.50M,6.89%,4.27,52.84,-,12.76%,202.98 - 312.56,-7.26%,-,22.56,17.63%,6.40%,-27.89%,1.03,-,0.41,21.15%,16.72%,11.04%,9.03,"Jul 30, 2008",1.11,-24.72%,5.73%,22.26,4.22% 3.13%,15000,1.45,16.11%,2.50%,2.88,283.00,Yes / Yes,0.92,141.50%,0.00%,0.67,227.02,8.17%,20.20%,18.18%,Jan 30 BMO,191.14K,225.39,-14.92%,-15.53%,-8.36%,,"30,764",-0.72%,ABG
RUT,10.92,1.14,3.79%,189.26M,1.43%,2.35B,9.45,10.74%,0.07%,182.32M,-9.25%,223.27M,-,0.29,58.94%,34.52%,-13.85%,1.44B,1.64,-31.84%,0.62%,18.70,-7.70%,12.63,0.98,1.81%,62.94M,-4.72%,3.48,3.56,-,8.62%,11.43 - 15.94,-10.43%,1.24 (10.02%),4.97,-1.47%,2.20%,-22.18%,1.59,1.72 (13.87%),-,22.77%,98.82%,8.53%,0.46,"Mar 07, 2025",-,-33.80%,80.92%,45.51,4.06% 4.24%,659,3.30,-11.26%,15.56%,3.40,12.62,Yes / Yes,2.35,-33.71%,145.75%,1.05,12.06,0.95%,6.67%,-17.36%,Feb 21 BMO,3.37M,12.40,-0.70%,-5.58%,-11.18%,,"850,580",2.86%,ABR
-,10.54,2.78,2.63%,91.78M,-4.29%,2.72B,9.63,13.35%,0.00%,90.47M,-29.12%,255.61M,-,0.39,108.37%,5.66%,-26.61%,3.15B,0.86,-18.78%,1.65%,2.69,-62.05%,33.49,0.87,4.52%,5.12M,-63.57%,0.82,35.63,-1.36%,8.73%,27.61 - 82.40,-26.20%,-,-,17.49%,5.05%,-64.49%,1.15,-,0.99,9.50%,22.57%,5.98%,1.89,-,1.00,1321.36%,16.56%,29.21,5.38% 5.02%,25500,0.68,7.69%,8.10%,1.46,48.31,Yes / Yes,0.65,-43.57%,0.00%,0.54,28.17,-0.61%,-10.44%,4.23%,Feb 27 AMC,1.90M,29.26,-15.52%,-26.96%,-46.96%,,"247,429",3.87%,ACHC
-,11.93,1.78,27.68%,579.36M,-1.08%,12.30B,9.22,0.40%,0.00%,418.99M,-1.54%,1.04B,-,0.41,51.97%,2.20%,14.68%,79.93B,0.15,-20.39%,3.96%,1.38,14.56%,5.81,3.65,3.90%,9.20M,1.37%,0.39,54.83,-5.93%,35.20%,17.00 - 21.67,8.08%,0.52 (2.44%),13.55,52.11%,6.16%,-2.04%,0.48,0.51 (2.40%),0.21,6.20%,25.80%,24.87%,0.54,"Jan 24, 2025",0.93,-24.43%,2.63%,55.53,3.23% 2.47%,285000,4.22,0.97%,1.30%,2.09,23.25,Yes / Yes,4.00,10.27%,21.54%,0.18,21.19,-0.19%,8.17%,1.17%,Jan 08 BMO,6.69M,21.23,1.98%,3.84%,8.00%,,"282,705",0.18%,ACI
RUT,7.60,1.57,50.05%,48.20M,-0.87%,574.40M,7.44,6.67%,-0.20%,24.10M,0.72%,75.72M,-,0.40,28.20%,3.32%,-11.11%,303.26M,1.89,-3.85%,16.50%,5.04,15.88%,4.89,2.44,11.04%,0.80M,15.88%,-,-,-,37.69%,8.49 - 14.52,-8.14%,0.50 (4.20%),2.36,-,19.53%,-18.01%,-0.38,-,-,-13.94%,-,40.18%,0.54,"Jan 02, 2025",2.50,-77.16%,36.75%,44.99,4.42% 5.02%,65,0.65,1.00%,24.97%,2.00,16.00,Yes / Yes,0.65,-62.14%,0.00%,0.21,11.83,5.00%,-25.00%,36.16%,Feb 27 AMC,158.90K,11.90,-3.72%,-2.95%,3.26%,,"8,009",0.63%,ACIC
S&P 500,13.04,3.61,0.76%,478.00M,-4.68%,22.61B,9.98,9.58%,0.00%,476.05M,4.21%,1.80B,22.88,0.67,82.00%,2.44%,-9.51%,85.50B,0.26,-9.07%,2.78%,3.10,-20.13%,46.38,1.02,3.34%,11.64M,-17.43%,8.69,5.42,0.57%,7.78%,44.92 - 66.08,-6.72%,2.09 (4.44%),18.42,8.39%,5.84%,-28.68%,0.65,2.01 (4.27%),0.81,6.92%,6.81%,4.91%,1.52,"Feb 18, 2025",1.39,-43.53%,2.59%,46.79,4.16% 3.03%,44043,0.52,-9.01%,2.11%,3.25,48.44,Yes / Yes,0.39,10.10%,54.78%,0.61,47.25,-5.60%,-0.06%,-6.55%,Feb 04 BMO,3.75M,47.12,-0.49%,-3.18%,-15.46%,,"551,481",-0.26%,ADM
-,14.12,0.53,39.63%,836.59M,-4.55%,6.53B,8.09,11.85%,0.00%,529.15M,1.85%,501.10M,1.21,0.19,52.25%,4.27%,1.57%,4.92B,1.33,9.67%,-2.65%,2.30,7.90%,4.26,1.75,3.42%,22.58M,12.80%,0.23,31.98,11.69%,14.41%,6.10 - 8.39,7.74%,0.19 (2.60%),5.45,-,4.40%,-11.26%,1.47,0.22 (2.96%),0.64,-0.75%,50.01%,22.05%,0.24,"Mar 13, 2025",0.80,10.03%,23.74%,46.52,3.43% 2.99%,12800,2.05,-13.19%,10.19%,3.00,8.62,Yes / Yes,2.00,-66.18%,42.30%,0.75,7.32,2.17%,6.38%,3.11%,Feb 27 BMO,9.84M,7.45,-2.13%,0.02%,1.26%,,"1,777,080",1.71%,ADT
RUT,6.44,1.68,8.19%,192.10M,-15.82%,2.07B,6.67,8.32%,-6.28%,176.36M,-23.94%,329.38M,-,0.11,93.68%,9.30%,-38.98%,5.33B,0.39,-14.09%,-4.56%,3.39,-43.49%,9.09,1.19,8.54%,16.40M,-51.70%,1.87,5.78,-0.97%,18.80%,10.92 - 26.25,-35.21%,0.36 (3.32%),10.79,8.46%,11.36%,-58.86%,1.39,0.50 (4.63%),0.81,5.37%,35.22%,-1.10%,0.60,"Apr 11, 2025",1.53,96.32%,8.35%,22.74,6.08% 4.32%,43100,0.82,1.27%,6.18%,2.77,14.10,Yes / Yes,0.64,1592.79%,29.76%,1.17,10.98,0.14%,5.08%,-4.42%,Mar 12 AMC,4.84M,10.80,-15.93%,-27.22%,-42.31%,,"1,365,061",-1.64%,AEO
