Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAL,American Airlines Group Inc,Industrials,Airlines,USA,7.02B,9.63,10.68,0.05%,"11,906,079"
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,907.30M,10.84,24.20,1.13%,"26,242"
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4.44B,10.49,225.79,-0.54%,"30,519"
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,2.35B,10.91,12.40,2.81%,"844,155"
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2.72B,10.53,29.23,3.77%,"246,940"
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,12.29B,11.93,21.22,0.13%,"280,052"
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,574.40M,7.60,11.90,0.63%,"7,012"
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,22.63B,13.06,47.17,-0.17%,"548,974"
ADT,ADT Inc,Industrials,Security & Protection Services,USA,6.53B,14.12,7.45,1.71%,"1,774,789"
AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail,USA,2.08B,6.45,10.80,-1.60%,"1,350,440"
AES,AES Corp,Utilities,Utilities - Diversified,USA,8.64B,5.11,12.13,-1.19%,"2,463,827"
AFG,American Financial Group Inc,Financial,Insurance - Property & Casualty,USA,10.58B,11.92,126.01,0.81%,"35,693"
AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA,9.31B,10.59,10.17,1.29%,"4,538,085"
AGRO,Adecoagro S.A,Consumer Defensive,Farm Products,Luxembourg,1.12B,7.18,10.79,0.65%,"284,315"
AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,10.49B,14.28,206.57,1.24%,"32,642"
AKO-A,Embotelladora Andina S.A. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.27B,10.71,16.13,4.47%,22
AKO-B,Embotelladora Andina S.A. ADR,Consumer Defensive,Beverages - Non-Alcoholic,Chile,1.75B,13.41,22.21,0.62%,"4,703"
AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA,5.07B,13.67,45.51,2.22%,"81,575"
ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,53.94B,11.98,203.53,0.76%,"215,550"
ALLY,Ally Financial Inc,Financial,Credit Services,USA,10.35B,12.97,33.69,2.12%,"296,728"
ALV,Autoliv Inc,Consumer Cyclical,Auto Parts,Sweden,7.02B,11.21,90.31,3.00%,"552,866"
AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials,USA,4.76B,13.52,19.31,1.70%,"248,757"
AMPH,Amphastar Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1.26B,8.64,26.45,0.80%,"82,071"
AMPY,Amplify Energy Corp,Energy,Oil & Gas E&P,USA,152.88M,12.76,3.79,1.08%,"71,275"
AMR,Alpha Metallurgical Resources Inc,Basic Materials,Coking Coal,USA,1.74B,9.38,133.34,0.89%,"42,923"
AMRC,Ameresco Inc,Industrials,Engineering & Construction,USA,538.55M,9.64,10.25,2.50%,"155,633"
AMRK,A-Mark Precious Metals Inc,Financial,Capital Markets,USA,638.20M,13.47,27.73,1.56%,"16,930"
AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA,18.13M,4.73,2.83,-0.53%,"3,395"
AMWD,American Woodmark Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,867.39M,9.04,58.47,0.86%,"7,861"
AN,Autonation Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,6.24B,9.39,159.05,1.52%,"69,687"
ANDE,Andersons Inc,Consumer Defensive,Food Distribution,USA,1.41B,12.42,41.41,0.78%,"25,786"
ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail,USA,3.93B,7.29,78.04,2.79%,"410,222"
APA,APA Corporation,Energy,Oil & Gas E&P,USA,7.08B,8.66,19.46,2.20%,"736,948"
APOG,Apogee Enterprises Inc,Industrials,Building Products & Equipment,USA,1.04B,10.59,47.35,1.69%,"11,393"
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,14.56B,9.23,63.44,2.04%,"551,579"
ARCB,ArcBest Corp,Industrials,Trucking,USA,1.71B,10.12,73.91,1.20%,"59,635"
ARCO,Arcos Dorados Holdings Inc,Consumer Cyclical,Restaurants,USA,1.68B,11.51,7.99,0.82%,"603,831"
ARDT,Ardent Health Partners Inc,Healthcare,Medical Care Facilities,USA,1.95B,9.29,13.68,3.18%,"41,339"
ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,3.19B,8.96,24.84,1.53%,"27,184"
